tmdb_id,title,description,poster,popularity,genres,rating,rating_count,release_date
381890,The Mermaid,"A playboy business tycoon, Liu Xuan, purchases the Green Gulf, a wildlife reserve, for a sea reclamation project, and uses sonar technology to get rid of the sea life in the area. Unknown to him, the Green Gulf is the home of merpeople, and the sonar has caused many of them to succumb to illness or die. Xuan's business ventures in the area are threatened when he crosses paths with the mermaid, Shan, who is sent to avenge her people.",/8YVB8VxQqx3J1FtOVvoHybBKNPS.jpg,19.018,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",6.3,176,2016-02-08
333357,Stephanie,"After a mysterious global crisis, a young girl is left alone to hide from a malevolent power that stalks her home. Her parents eventually return and the struggle begins to save their daughter.",/saH984W3ZGjRX0NMCEsuKh8VUP9.jpg,17.363,"[{'id': 27, 'name': 'Horror'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",6.0,136,2017-04-27
33645,Megalodon,"A skeptical news reporter is invited by the CEO of Nexecon Petroleum to document the safety of Colossus, the largest drilling and refining platform ever constructed. As the powerful drill tears through the seabed, a fissure forms, revealing a hidden mirror ocean teeming with prehistoric life. When a team is sent to access the damage, it comes face to face with the most powerful oceanic predator that ever lived: Carcharodon Megalodon.",/fLzlNq3fjNQ64TRRLKlNkrDpYLt.jpg,13.155,"[{'id': 28, 'name': 'Action'}]",4.3,35,2004-02-01
12110,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,19.189,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 14, 'name': 'Fantasy'}]",6.0,590,1995-12-22
44363,Frozen,"When three skiers find themselves stranded on a chair lift at a New England ski resort that has closed for the next week, they are forced to make life or death choices that prove to be more perilous than staying put and freezing to death.",/6SjRpaJg43iJnY0jlJ6c61tAKOo.jpg,19.923,"[{'id': 53, 'name': 'Thriller'}]",5.8,1248,2010-02-05
276624,I Am a Hero,"Hideo Suzuki is a 35-year-old mangaka assistant, whose life seem to be stuck around his exhausting but low-paying job, unfulfilled dreams, strange hallucinations and unsatisfying relationships. He sees himself as a supporting character in his own life, has low self-esteem, resulting in frustration. One day, the world as Hideo knows it is shattered by the presence of a disease that turns people into homicidal maniacs, whose first instinct is to attack and devour the nearest human.",/4RnmHtCLtbBHD9jagVlcSzJTWX6.jpg,13.993,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",7.1,173,2015-10-13
32916,Scooby-Doo! Abracadabra-Doo,"The gang goes on a trip to check on Velma's younger sister, Madelyn. She's been studying stage magic at the Whirlen Merlin Magic Academy, where apparently there have been sightings of a giant griffin. The gang decides to investigate.",/1cKL7mZW5shP9r9TlTNQX4doMQN.jpg,14.961,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 9648, 'name': 'Mystery'}, {'id': 14, 'name': 'Fantasy'}]",7.3,118,2010-02-16
2057,Original Sin,"A young man is plunged into a life of subterfuge, deceit and mistaken identity in pursuit of a femme fatale whose heart is never quite within his grasp",/2a4jIytoGQjf5TcIfYMaPK2a8HR.jpg,16.493,"[{'id': 53, 'name': 'Thriller'}]",6.0,551,2001-05-08
31867,Repo Men,"In the future, medical technology has advanced to the point where people can buy artificial organs to extend their lives. But if they default on payments, an organization known as the Union sends agents to repossess the organs. Remy is one of the best agents in the business, but when he becomes the recipient of an artificial heart, he finds himself in the same dire straits as his many victims.",/briDKf5nrLzox2zcI6pquKeqWz8.jpg,16.403,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.3,1280,2010-03-18
15121,The Sound of Music,"In the years before the Second World War, a tomboyish postulant at an Austrian abbey becomes a governess in the home of a widowed naval captain with seven children, and brings a new love of life and music into the home.",/nv8bcyqXJh2tijWLa3MoUktlVZZ.jpg,16.493,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",7.7,2162,1965-03-29
70436,The Raven,"A fictionalized account of the last days of Edgar Allan Poe's life, in which the poet is in pursuit of a serial killer whose murders mirror those in the writer's stories.",/cocc5Etbq9pgfOl3jCz9QDh3EHB.jpg,13.849,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",6.3,897,2012-03-09
443700,Altitude,A female FBI agent is offered millions to help a thief escape from a hijacked airplane.,/1pSk6DU0oY7BWTK4F9keqjeCxB7.jpg,16.682,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",4.9,80,2017-04-14
302960,Scooby-Doo! Moon Monster Madness,"It's one giant step for dog-kind as Scooby-Doo and the Gang blast off for an epic, other-worldly adventure in this all-new original movie! After winning the last 5 seats in a lottery, Scooby-Doo, Shaggy, Fred, Daphne and Velma are off to space in billionaire Sly Baron's brand new ship, the Sly Star One. It's all gravity-free fun until a mysterious alien begins destroying the ship! As the ship breaks down, the crew is forced to land on Sly Baron's base... on the dark side of the moon! Will the gang unravel this alien mystery? Will Scooby-Doo and Shaggy find snacks on the moon? Will Fred ever take his space helmet off?! Journey to the outer limits with Scooby-Doo to find out!",/ybTMuzXTh9padd6to2XPrfY94KO.jpg,13.214,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",6.9,67,2015-02-17
71469,The Darkest Hour,"In Moscow, five young people lead the charge against an alien race which has attacked Earth via our power supply.",/5Ao4qAFbjP7fcFOOdMNvQEnl0Yr.jpg,15.349,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",5.0,901,2011-12-22
372758,New Initial D the Movie - Legend 3: Dream,"Mt. Akina's new downhill racing hero Fujiwara Takumi prepares for the final showdown against Red Sun's unbeaten leader and Akagi's fastest driver, Takahashi Ryosuke.",/uZ7V4pgIibAah9Xm8M3sfPgDQWF.jpg,20.987,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",7.7,6,2016-02-06
88111,Emmanuelle in Space 6: One Last Fling,"As the aliens near the end of their sexual odyssey, Emmanuelle and her intergalactic lover experience spiritual and physical pleasure for possibly the last time.",/vhfSpUhKB7k6pAFGWdTZdEeLQ5F.jpg,18.473,"[{'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",5.3,3,1994-11-08
14208,The Librarian: Return to King Solomon's Mines,"After retrieving the Crystal Skull in Utah, Flynn Carsen receives a map in the mail with the secret location of King Solomon's Mines. When the scroll is stolen, Judson explains the power of the Key of Solomon's book and assigns Flynn to retrieve the map. The map is useless without the legend piece to decipher it, which is located in Volubilis near the Roman ruins in Morocco. Flynn heads to Casablanca to the ruins where he is chased by a group of mercenaries leaded by General Samir. They too want to find the location of King Solomon's mines. Flynn teams-up with Professor Emily Davenport working in the dig and they escape from General Samir and his men. While traveling to Gedi, they save the local Jomo from death and the trio faces a dangerous journey through the wild Africa.",/jK4BhFw9uNS6BKfAVlxX6Bnkj0J.jpg,12.972,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",6.1,309,2006-09-09
6639,Love in the Time of Cholera,"In Colombia just after the Great War, an old man falls from a ladder; dying, he professes great love for his wife. After the funeral, a man calls on the widow - she dismisses him angrily. Flash back more than 50 years to the day Florentino Ariza, a telegraph boy, falls in love with Fermina Daza, the daughter of a mule trader.",/7y5VuS218Nqc8eVdeuOrlYWWD0D.jpg,13.646,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.6,224,2007-10-04
9671,Crocodile Dundee,"When a New York reporter plucks crocodile hunter Dundee from the Australian Outback for a visit to the Big Apple, it's a clash of cultures and a recipe for good-natured comedy as naïve Dundee negotiates the concrete jungle. Dundee proves that his instincts are quite useful in the city and adeptly handles everything from wily muggers to high-society snoots without breaking a sweat.",/pduPduL1ub5kok3lPYT15ryC9L6.jpg,16.137,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",6.3,1201,1986-09-26
9591,That Thing You Do!,"A Pennsylvania band scores a hit in 1964 and rides the star-making machinery as long as it can, with lots of help from its manager.",/gm6Uw5fFGvnzLusTtYdT1js27JT.jpg,15.22,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]",6.8,499,1996-10-04
4349,The Kingdom,A team of U.S. government agents is sent to investigate the bombing of an American facility in the Middle East.,/1RkL0PGod3b75MSrc1nVJxZsoRT.jpg,16.296,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",6.6,995,2007-08-22
375355,Don't Hang Up,An evening of drunken prank calls becomes a nightmare for a pair of teenagers when a mysterious stranger turns their own game against them.,/cZYTKvFKYtuUybTUmnIiUKCjNnZ.jpg,13.237,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",6.0,324,2016-10-22
10474,The Basketball Diaries,Film adaptation of street tough Jim Carroll's epistle about his kaleidoscopic free fall into the harrowing world of drug addiction.,/AhvO1GGDPIgN0hOqZEgaFCbswMK.jpg,17.844,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",7.3,1183,1995-04-21
